Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
AFGHANISTAN,3.3,0.0,1.1,8.79,5.49,5.49,3.3,0.0,0.0,0.0,0.0,4.4,2.2,0.0,7.69,0.0,3.3,2.2,2.2,0.0,19.78,6.59,4.4,13.19,0.0,6.59
ALBANIA,0.0,0.0,18.18,9.09,0.0,4.55,0.0,22.73,0.0,0.0,0.0,0.0,0.0,18.18,4.55,13.64,0.0,4.55,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0
ALGERIA,0.0,5.88,5.88,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,11.76,5.88,23.53,0.0,5.88,11.76,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,11.76
ANGOLA,1.03,0.0,51.55,2.06,5.15,4.12,1.03,1.03,0.0,0.0,0.0,3.09,0.0,0.0,0.0,2.06,0.0,0.0,3.09,0.0,1.03,4.12,1.03,19.59,0.0,0.0
ANTIGUA-BARBUDA,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGENTINA,6.85,1.37,1.37,1.37,4.11,2.74,0.0,1.37,0.0,0.0,1.37,1.37,2.74,53.42,2.74,1.37,2.74,2.74,2.74,4.11,0.0,1.37,1.37,0.0,0.0,2.74
ARMENIA,0.0,0.0,0.0,0.0,0.0,4.44,2.22,2.22,0.0,0.0,0.0,2.22,48.89,2.22,2.22,0.0,0.0,2.22,2.22,0.0,0.0,6.67,13.33,8.89,2.22,0.0
AUSTRALIA,6.67,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,13.33,6.67,0.0,0.0,0.0,6.67,0.0,13.33,26.67,0.0,6.67,0.0,6.67,0.0
AUSTRIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZERBAIJAN,7.14,0.0,21.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,7.14,0.0,0.0,0.0,21.43,0.0,0.0,7.14,0.0,21.43,0.0,0.0,0.0
BAHAMAS,10.92,0.57,0.57,0.0,4.6,3.45,0.57,2.3,0.0,0.0,0.0,1.15,0.57,55.17,11.49,0.57,1.15,2.3,0.0,1.72,0.57,0.0,0.57,0.0,0.57,1.15
BAHRAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
